serial_no,frame_no,timestamp,object_class,class_id,track_id,confidence,x1,y1,x2,y2
1,8,0.267,tv,62,2,0.4515,830.91,401.09,999.22,529.62
2,12,0.4,tv,62,2,0.4336,828.89,406.67,997.13,535.26
3,13,0.433,tv,62,2,0.3715,828.28,408.32,995.01,535.75
4,14,0.467,tv,62,2,0.3776,827.01,409.62,993.99,537.31
5,19,0.633,tv,62,2,0.4019,827.07,417.29,994.71,545.94
6,22,0.733,tv,62,2,0.4475,830.18,437.49,991.32,561.17
7,23,0.767,tv,62,2,0.6017,830.06,444.54,991.37,568.62
8,24,0.8,tv,62,2,0.36,830.18,451.88,993.16,577.53
9,25,0.833,tv,62,2,0.3812,832.49,460.05,993.51,584.16
10,26,0.867,tv,62,2,0.3777,834.37,467.71,993.98,590.59
11,29,0.967,tv,62,2,0.5621,841.38,486.46,997.1,605.86
12,30,1.0,tv,62,2,0.4271,844.9,492.06,1001.32,611.49
13,31,1.033,tv,62,2,0.3989,847.95,496.33,1005.22,616.28
14,34,1.133,bottle,39,9,0.4001,482.32,194.61,515.71,270.36
15,35,1.167,bottle,39,9,0.3541,478.22,193.65,512.12,270.51
16,35,1.167,tv,62,2,0.4461,845.06,502.81,999.94,620.74
17,39,1.3,bottle,39,9,0.3759,467.16,193.21,501.56,270.8
18,39,1.3,tv,62,2,0.506,837.29,502.32,991.44,619.67
19,40,1.333,bottle,39,9,0.3775,466.27,195.09,500.78,272.59
20,40,1.333,tv,62,2,0.4261,836.65,503.66,990.41,620.54
21,41,1.367,bottle,39,9,0.4586,466.62,198.07,501.17,275.17
22,41,1.367,tv,62,2,0.3645,836.59,505.65,990.35,622.18
23,42,1.4,bottle,39,9,0.3877,466.18,200.93,500.32,276.43
24,42,1.4,tv,62,2,0.443,834.87,507.01,990.91,625.2
25,43,1.433,bottle,39,9,0.369,465.17,201.91,499.44,277.19
26,43,1.433,tv,62,2,0.4492,835.59,508.49,989.28,624.42
27,44,1.467,bottle,39,9,0.3562,466.17,202.33,500.87,277.71
28,44,1.467,tv,62,2,0.3728,836.52,508.23,990.6,624.28
29,45,1.5,tv,62,2,0.4239,839.9,506.05,994.91,622.59
30,49,1.633,tv,62,2,0.5487,845.56,494.96,1007.79,617.07
31,50,1.667,tv,62,2,0.3959,843.68,493.37,1006.73,616.07
32,51,1.7,tv,62,2,0.37,843.6,493.89,1002.53,612.9
33,70,2.333,tv,62,2,0.3963,847.4,524.64,1008.34,645.41
34,71,2.367,bottle,39,12,0.3827,491.58,229.28,524.56,302.92
35,74,2.467,tv,62,2,0.5601,836.39,528.24,993.94,646.31
36,75,2.5,tv,62,2,0.6101,834.2,527.94,991.96,646.37
37,76,2.533,tv,62,2,0.6506,832.82,524.88,989.93,643.05
38,81,2.7,bottle,39,14,0.4038,446.68,212.98,482.83,289.63
39,81,2.7,tv,62,2,0.3597,808.63,518.31,964.56,636.07
40,82,2.733,bottle,39,14,0.3971,447.19,212.58,483.21,288.93
41,83,2.767,bottle,39,14,0.3964,447.74,213.68,484.08,290.75
42,84,2.8,tv,62,2,0.5443,807.9,520.95,964.75,639.68
43,85,2.833,tv,62,2,0.5137,806.18,521.11,963.8,641.02
44,85,2.833,bottle,39,14,0.351,447.95,213.66,484.83,292.01
45,87,2.9,bottle,39,14,0.4184,449.0,220.29,484.38,295.27
46,90,3.0,bottle,39,14,0.3624,455.82,227.26,490.45,300.96
47,96,3.2,tv,62,15,0.364,832.69,558.63,987.29,678.22
48,97,3.233,tv,62,15,0.3899,833.25,563.94,984.69,681.03
49,100,3.333,tv,62,15,0.3707,832.45,586.2,984.44,703.75
50,101,3.367,tv,62,15,0.3657,833.38,597.12,984.47,713.87
51,106,3.533,tv,62,15,0.3649,818.09,635.68,969.68,752.85
52,107,3.567,tv,62,15,0.3552,813.79,640.65,966.53,758.82
53,109,3.633,tv,62,15,0.3744,806.43,645.71,959.92,764.77
